claim_id,employee_id,amount,expense_category,claim_date,submission_date,receipt_attached,policy_id,approval_status,approved_by
EXP-000039,EMP-63037,23.29,Office Supplies,2022-09-03,2022-09-07,True,POL-0009,APPROVED,MGR-3835
EXP-000040,EMP-5359,431.13,Training,2022-01-03,2022-01-14,True,POL-0013,APPROVED,MGR-4619
EXP-000041,EMP-20986,4706.75,Training,2022-03-15,2022-03-25,True,POL-0012,APPROVED,MGR-2060
EXP-000042,EMP-55700,1282.61,Marketing,2024-06-11,2024-06-20,True,POL-0011,APPROVED,MGR-9921
EXP-000043,EMP-41857,3961.38,Training,2024-02-01,2024-02-06,True,POL-0013,APPROVED,MGR-2722
EXP-000044,EMP-29239,8397.07,Marketing,2024-12-24,2025-01-02,False,POL-0006,PENDING,
EXP-000045,EMP-51479,8277.66,Consulting,2023-01-05,2023-01-12,True,POL-0004,APPROVED,MGR-2496
EXP-000046,EMP-40939,185.5,Entertainment,2024-03-03,2024-03-15,True,POL-0007,APPROVED,MGR-3024
EXP-000047,EMP-57439,144.85,Accommodation,2024-12-07,2024-12-12,True,POL-0006,APPROVED,MGR-4674
EXP-000048,EMP-14525,6128.17,Consulting,2023-12-20,2023-12-20,True,POL-0020,APPROVED,MGR-1899
EXP-000049,EMP-56199,8237.88,Marketing,2023-08-15,2023-08-20,True,POL-0017,APPROVED,MGR-4806
EXP-000050,EMP-16587,68.98,Accommodation,2022-07-07,2022-07-17,True,POL-0017,APPROVED,MGR-4730
EXP-000051,EMP-53566,665.58,Software,2022-12-17,2022-12-27,True,POL-0002,APPROVED,MGR-8648
EXP-000052,EMP-72409,10863.9,Consulting,2023-01-30,2023-02-10,True,POL-0011,APPROVED,MGR-4911
EXP-000053,EMP-42922,932.52,Consulting,2023-06-25,2023-07-01,False,POL-0016,APPROVED,MGR-3910
EXP-000054,EMP-63074,2249.5,Travel,2024-10-30,2024-11-09,True,POL-0008,APPROVED,MGR-7414
EXP-000055,EMP-32059,1372.33,Travel,2021-07-17,2021-07-20,True,POL-0012,APPROVED,MGR-6467
EXP-000056,EMP-44216,183.0,Accommodation,2022-08-29,2022-08-29,False,POL-0010,PENDING,
EXP-000057,EMP-42957,4714.76,Consulting,2023-11-29,2023-12-09,True,POL-0008,APPROVED,MGR-1899
EXP-000058,EMP-74001,4338.27,Training,2024-01-05,2024-01-06,True,POL-0004,APPROVED,MGR-4911
EXP-000059,EMP-32777,2577.14,Training,2021-09-27,2021-09-27,True,POL-0013,APPROVED,MGR-4619
EXP-000060,EMP-39119,132.78,Office Supplies,2022-10-10,2022-10-17,True,POL-0014,APPROVED,MGR-8925
EXP-000061,EMP-RM518,376.41,Software,2021-12-24,2022-01-05,True,POL-0002,PENDING,
EXP-000062,EMP-RM641,3868.81,Marketing,2022-09-15,2022-09-19,False,POL-0014,APPROVED,MGR-3767
EXP-000063,EMP-54654,1744.81,Equipment,2021-09-25,2021-09-30,True,POL-0001,APPROVED,MGR-7414
EXP-000064,EMP-35495,1374.91,Equipment,2023-12-11,2023-12-24,True,POL-0019,APPROVED,MGR-3024
EXP-000065,EMP-23154,527.17,Entertainment,2021-06-06,2021-06-07,True,POL-0011,FLAGGED,
EXP-000066,EMP-38416,1085.92,Travel,2023-06-10,2023-06-17,True,POL-0006,APPROVED,MGR-1899
EXP-000067,EMP-35253,1376.95,Marketing,2021-12-22,2021-12-27,True,POL-0006,APPROVED,MGR-3796
EXP-000068,EMP-7651,13.9,Meals,2021-01-12,2021-01-12,True,POL-0001,APPROVED,MGR-4806
EXP-000069,EMP-47321,450.74,Office Supplies,2021-02-15,2021-02-22,True,POL-0002,APPROVED,MGR-7110
EXP-000070,EMP-23198,1344.93,Equipment,2024-10-30,2024-11-03,True,POL-0011,APPROVED,MGR-3835
EXP-000071,EMP-54999,135.15,Entertainment,2021-07-10,2021-07-12,True,POL-0011,APPROVED,MGR-9261
EXP-000072,EMP-RM1175,4528.86,Marketing,2024-12-28,2025-01-04,True,POL-0020,APPROVED,MGR-7209
EXP-000073,EMP-4909,1667.17,Marketing,2024-01-08,2024-01-15,True,POL-0016,APPROVED,MGR-8925
EXP-000074,EMP-31817,26.6,Meals,2024-09-01,2024-09-15,True,POL-0010,APPROVED,MGR-8925
EXP-000075,EMP-12733,9433.74,Marketing,2021-06-08,2021-06-20,True,POL-0008,APPROVED,MGR-5449
EXP-000076,EMP-41355,3869.26,Marketing,2024-09-24,2024-09-25,True,POL-0020,APPROVED,MGR-4806
EXP-000077,EMP-27349,3502.96,Marketing,2022-02-20,2022-03-04,True,POL-0018,APPROVED,MGR-1899
EXP-000078,EMP-31447,109.17,Entertainment,2024-03-15,2024-03-29,True,POL-0002,APPROVED,MGR-6637
EXP-000079,EMP-36306,2662.51,Equipment,2021-08-20,2021-08-22,True,POL-0002,APPROVED,MGR-4806
EXP-000080,EMP-62941,13659.28,Consulting,2024-07-30,2024-08-01,True,POL-0015,APPROVED,MGR-3517
EXP-000081,EMP-28044,312.93,Office Supplies,2024-01-19,2024-01-29,True,POL-0005,PENDING,
EXP-000082,EMP-49260,154.19,Accommodation,2023-08-10,2023-08-21,True,POL-0014,APPROVED,MGR-1877
EXP-000083,EMP-42150,322.02,Office Supplies,2021-06-06,2021-06-11,True,POL-0008,APPROVED,MGR-6467
EXP-000084,EMP-58255,8194.85,Consulting,2021-10-16,2021-10-16,True,POL-0005,APPROVED,MGR-2279
EXP-000085,EMP-12182,1768.33,Marketing,2023-01-09,2023-01-14,True,POL-0020,APPROVED,MGR-3517
EXP-000086,EMP-41866,150.12,Entertainment,2022-10-06,2022-10-20,True,POL-0006,APPROVED,MGR-3767
EXP-000087,EMP-35623,961.52,Equipment,2023-06-19,2023-06-26,True,POL-0004,APPROVED,MGR-2060
EXP-000088,EMP-RM964,224.05,Office Supplies,2024-05-06,2024-05-20,True,POL-0011,APPROVED,MGR-9921
EXP-000089,EMP-72714,371.08,Software,2021-09-06,2021-09-10,True,POL-0009,PENDING,
EXP-000090,EMP-50610,163.0,Software,2023-08-01,2023-08-11,True,POL-0008,APPROVED,MGR-9536
EXP-000091,EMP-6798,310.9,Office Supplies,2022-02-25,2022-03-10,True,POL-0017,APPROVED,MGR-2496
EXP-000092,EMP-RM1235,1102.02,Training,2024-03-21,2024-04-03,False,POL-0017,REJECTED,
EXP-000093,EMP-45297,4070.72,Training,2022-07-30,2022-08-12,True,POL-0002,APPROVED,MGR-3073
EXP-000094,EMP-27203,473.68,Consulting,2021-11-20,2021-11-26,True,POL-0005,APPROVED,MGR-4911
EXP-000095,EMP-34913,4562.82,Marketing,2022-01-10,2022-01-24,True,POL-0003,APPROVED,MGR-3748
EXP-000096,EMP-71111,91.83,Accommodation,2021-06-02,2021-06-13,True,POL-0011,APPROVED,MGR-4806
EXP-000097,EMP-35747,11130.66,Consulting,2021-03-15,2021-03-24,True,POL-0006,APPROVED,MGR-2496
EXP-000098,EMP-70147,2338.59,Training,2024-04-01,2024-04-13,True,POL-0011,APPROVED,MGR-2279
EXP-000099,EMP-27977,1636.4,Training,2021-12-14,2021-12-19,True,POL-0015,APPROVED,MGR-8161
EXP-000100,EMP-17202,207.05,Meals,2024-08-17,2024-08-18,True,POL-0015,FLAGGED,
EXP-000101,EMP-RM1388,222.2,Software,2021-01-07,2021-01-19,False,POL-0004,REJECTED,
EXP-000102,EMP-24437,142.88,Entertainment,2024-01-27,2024-02-08,True,POL-0020,APPROVED,MGR-2668
EXP-000103,EMP-18184,3822.41,Training,2023-06-01,2023-06-05,True,POL-0009,APPROVED,MGR-4911
EXP-000104,EMP-67911,558.67,Software,2023-06-12,2023-06-17,True,POL-0015,PENDING,
EXP-000105,EMP-54734,4150.22,Marketing,2022-06-07,2022-06-17,True,POL-0006,APPROVED,MGR-3767
EXP-000106,EMP-59394,9330.94,Consulting,2024-07-22,2024-08-03,True,POL-0001,APPROVED,MGR-3767
EXP-000107,EMP-7951,3223.1,Training,2021-07-02,2021-07-05,False,POL-0001,APPROVED,MGR-8247
EXP-000108,EMP-8607,1282.84,Consulting,2022-01-18,2022-02-01,False,POL-0005,PENDING,
EXP-000109,EMP-15375,144.42,Accommodation,2024-10-19,2024-10-20,True,POL-0014,APPROVED,MGR-3024
EXP-000110,EMP-61237,4937.68,Marketing,2023-04-06,2023-04-11,True,POL-0001,APPROVED,MGR-8925
EXP-000111,EMP-70830,1084.9,Marketing,2023-04-02,2023-04-09,True,POL-0016,APPROVED,MGR-2668
EXP-000112,EMP-13752,1531.49,Consulting,2023-12-19,2023-12-24,True,POL-0005,APPROVED,MGR-6032
EXP-000113,EMP-35873,1192.95,Equipment,2021-06-04,2021-06-06,True,POL-0015,APPROVED,MGR-8115
EXP-000114,EMP-20025,217.74,Software,2022-01-19,2022-01-30,False,POL-0005,APPROVED,EMP-20025
EXP-000115,EMP-12371,45.87,Meals,2022-05-21,2022-06-01,True,POL-0001,APPROVED,MGR-2060
EXP-000116,EMP-RM133,697.96,Software,2024-11-25,2024-12-03,True,POL-0016,PENDING,
EXP-000117,EMP-RM874,13660.55,Consulting,2021-11-24,2021-12-05,True,POL-0011,APPROVED,MGR-2060
EXP-000118,EMP-6577,2531.69,Marketing,2024-08-07,2024-08-07,True,POL-0010,APPROVED,MGR-1012
EXP-000119,EMP-RM414,2619.6,Equipment,2022-12-10,2022-12-17,True,POL-0002,PENDING,
EXP-000120,EMP-5125,42.92,Meals,2024-09-24,2024-10-07,True,POL-0014,APPROVED,MGR-8925
EXP-000121,EMP-RM755,50.07,Entertainment,2023-09-11,2023-09-11,True,POL-0018,APPROVED,MGR-4730
EXP-000122,EMP-28713,165.52,Entertainment,2023-06-14,2023-06-14,False,POL-0016,PENDING,
EXP-000123,EMP-49776,122.13,Entertainment,2024-07-26,2024-08-05,False,POL-0012,APPROVED,MGR-3796
EXP-000124,EMP-72970,747.27,Software,2024-06-11,2024-06-12,True,POL-0020,APPROVED,MGR-5188
EXP-000125,EMP-16055,4197.39,Training,2023-03-16,2023-03-19,False,POL-0009,PENDING,
EXP-000126,EMP-18623,271.45,Training,2022-04-23,2022-05-02,True,POL-0008,APPROVED,MGR-2413
EXP-000127,EMP-RM460,7419.47,Marketing,2024-01-10,2024-01-17,True,POL-0014,APPROVED,MGR-4730
EXP-000128,EMP-RM181,85.69,Entertainment,2024-08-13,2024-08-20,True,POL-0012,APPROVED,MGR-8161
EXP-000129,EMP-60294,2330.77,Travel,2024-01-01,2024-01-14,True,POL-0007,APPROVED,MGR-8115
EXP-000130,EMP-35633,219.85,Office Supplies,2021-05-07,2021-05-15,True,POL-0012,APPROVED,MGR-7209
EXP-000131,EMP-17625,11.28,Equipment,2023-03-02,2023-03-02,True,POL-0012,APPROVED,MGR-3748
EXP-000132,EMP-13763,1411.21,Training,2022-12-04,2022-12-18,True,POL-0008,APPROVED,MGR-2060
EXP-000133,EMP-41738,216.53,Office Supplies,2024-04-23,2024-04-27,True,POL-0016,APPROVED,MGR-6637
EXP-000134,EMP-71696,34.74,Meals,2021-06-09,2021-06-22,True,POL-0010,PENDING,
EXP-000135,EMP-21908,1191.79,Travel,2023-04-08,2023-04-20,True,POL-0004,APPROVED,MGR-2413
EXP-000136,EMP-48798,790.15,Software,2022-09-17,2022-09-27,True,POL-0010,APPROVED,MGR-4619
EXP-000137,EMP-60718,1087.88,Travel,2021-02-04,2021-02-10,True,POL-0008,APPROVED,MGR-6345
EXP-000138,EMP-RM1321,5088.95,Marketing,2023-11-14,2023-11-25,True,POL-0019,APPROVED,MGR-2060
EXP-000139,EMP-10060,20.42,Meals,2024-10-23,2024-11-02,True,POL-0006,APPROVED,MGR-1899
EXP-000140,EMP-9300,15.22,Office Supplies,2024-06-29,2024-07-08,True,POL-0008,APPROVED,MGR-6637
EXP-000141,EMP-25929,61.18,Meals,2024-11-23,2024-11-26,True,POL-0006,APPROVED,MGR-8161
EXP-000142,EMP-22576,54.57,Meals,2022-05-19,2022-05-27,True,POL-0017,APPROVED,MGR-6467
EXP-000143,EMP-19129,357.89,Software,2023-07-25,2023-08-04,True,POL-0005,APPROVED,MGR-6637
EXP-000144,EMP-50681,632.98,Equipment,2022-06-08,2022-06-10,False,POL-0016,PENDING,
EXP-000145,EMP-46950,4179.83,Training,2023-06-23,2023-07-06,True,POL-0010,APPROVED,MGR-3517
EXP-000146,EMP-RM1184,34.84,Accommodation,2023-07-08,2023-07-13,True,POL-0014,APPROVED,MGR-2722
EXP-000147,EMP-5355,526.74,Software,2021-02-02,2021-02-15,True,POL-0018,APPROVED,MGR-8925
EXP-000148,EMP-68148,12400.17,Consulting,2022-02-20,2022-03-05,True,POL-0006,APPROVED,MGR-4911
EXP-000149,EMP-RM576,1616.14,Travel,2024-11-21,2024-12-04,True,POL-0016,APPROVED,EMP-RM576
EXP-000150,EMP-RM1118,3245.38,Training,2023-08-27,2023-09-04,True,POL-0009,PENDING,
EXP-000151,EMP-RM394,160.94,Entertainment,2024-03-24,2024-04-01,True,POL-0008,APPROVED,MGR-2722
EXP-000152,EMP-9082,1385.62,Equipment,2021-03-02,2021-03-03,True,POL-0007,APPROVED,MGR-7110
EXP-000153,EMP-12852,4502.51,Consulting,2023-03-25,2023-04-04,True,POL-0009,APPROVED,MGR-7209
EXP-000154,EMP-39967,11373.39,Consulting,2024-03-10,2024-03-16,True,POL-0002,APPROVED,MGR-2668
EXP-000155,EMP-20150,764.32,Training,2023-02-06,2023-02-19,True,POL-0019,APPROVED,MGR-6345
EXP-000156,EMP-34691,101.76,Accommodation,2023-05-17,2023-05-28,True,POL-0003,APPROVED,MGR-6637
EXP-000157,EMP-60988,15.94,Meals,2024-12-27,2025-01-10,True,POL-0014,PENDING,
EXP-000158,EMP-46370,139.28,Accommodation,2023-10-03,2023-10-03,True,POL-0011,APPROVED,MGR-6637
EXP-000159,EMP-5932,130.25,Entertainment,2024-09-01,2024-09-13,True,POL-0012,APPROVED,MGR-9216
EXP-000160,EMP-60526,12094.86,Consulting,2022-01-26,2022-01-29,True,POL-0014,APPROVED,MGR-7488
EXP-000161,EMP-64686,145.67,Accommodation,2023-06-05,2023-06-18,True,POL-0019,APPROVED,MGR-8648
EXP-000162,EMP-68636,2293.74,Consulting,2023-01-30,2023-02-01,True,POL-0009,APPROVED,MGR-4806
EXP-000163,EMP-5697,1496.76,Equipment,2024-02-05,2024-02-18,True,POL-0010,APPROVED,MGR-5188
EXP-000164,EMP-22035,1905.21,Equipment,2021-07-27,2021-08-01,True,POL-0010,APPROVED,MGR-1899
EXP-000165,EMP-57975,199.18,Accommodation,2021-04-10,2021-04-17,True,POL-0010,APPROVED,MGR-8161
EXP-000166,EMP-14813,935.06,Software,2023-08-04,2023-08-17,True,POL-0005,APPROVED,MGR-8648
EXP-000167,EMP-74188,431.22,Software,2021-05-20,2021-05-24,False,POL-0009,APPROVED,MGR-1877
EXP-000168,EMP-1789,2147.31,Travel,2024-01-05,2024-01-05,True,POL-0015,APPROVED,MGR-8648
EXP-000169,EMP-39345,596.78,Entertainment,2024-09-17,2024-09-24,True,POL-0017,FLAGGED,
EXP-000170,EMP-10298,385.53,Training,2024-08-08,2024-08-10,True,POL-0016,APPROVED,MGR-7110
EXP-000171,EMP-15634,1433.96,Equipment,2022-09-26,2022-09-26,True,POL-0017,APPROVED,EMP-15634
EXP-000172,EMP-36894,262.93,Software,2022-07-16,2022-07-18,True,POL-0005,APPROVED,MGR-7273
EXP-000173,EMP-14020,97.6,Office Supplies,2024-02-02,2024-02-14,True,POL-0017,APPROVED,MGR-4505
EXP-000174,EMP-33187,576.57,Travel,2022-07-05,2022-07-17,True,POL-0004,APPROVED,MGR-8648
EXP-000175,EMP-25365,356.66,Office Supplies,2023-11-30,2023-12-06,True,POL-0017,PENDING,
EXP-000176,EMP-49257,54.8,Accommodation,2021-08-22,2021-08-22,True,POL-0019,APPROVED,MGR-3796
EXP-000177,EMP-57774,1921.53,Travel,2021-08-05,2021-08-08,True,POL-0015,APPROVED,MGR-3024
EXP-000178,EMP-61532,11107.7,Consulting,2024-09-25,2024-09-25,False,POL-0006,PENDING,
EXP-000179,EMP-11179,752.68,Software,2024-07-01,2024-07-08,True,POL-0011,APPROVED,MGR-8005
EXP-000180,EMP-17438,169.79,Office Supplies,2022-02-14,2022-02-25,True,POL-0005,APPROVED,MGR-6032
EXP-000181,EMP-33536,21.02,Travel,2024-03-05,2024-03-05,True,POL-0010,APPROVED,MGR-1012
EXP-000182,EMP-49296,463.06,Office Supplies,2023-08-07,2023-08-08,True,POL-0011,APPROVED,MGR-2413
EXP-000183,EMP-23312,57.09,Accommodation,2021-09-19,2021-09-29,True,POL-0004,APPROVED,MGR-2413
EXP-000184,EMP-39615,7694.72,Consulting,2022-08-22,2022-08-24,True,POL-0003,APPROVED,MGR-9004
EXP-000185,EMP-37976,2119.58,Travel,2021-01-06,2021-01-17,True,POL-0014,APPROVED,MGR-6637
EXP-000186,EMP-31447,2778.89,Training,2022-02-05,2022-02-13,True,POL-0010,APPROVED,MGR-2496
EXP-000187,EMP-7133,45.92,Meals,2024-09-08,2024-09-14,True,POL-0010,APPROVED,MGR-3073
EXP-000188,EMP-1607,312.92,Software,2023-03-16,2023-03-22,True,POL-0017,APPROVED,MGR-7414
EXP-000189,EMP-60488,222.95,Software,2023-01-06,2023-01-20,True,POL-0010,APPROVED,MGR-9921
EXP-000190,EMP-RM254,2635.43,Training,2024-07-29,2024-08-03,False,POL-0003,REJECTED,
EXP-000191,EMP-52811,1764.74,Travel,2022-05-06,2022-05-09,True,POL-0020,APPROVED,MGR-4911
EXP-000192,EMP-52938,1527.18,Marketing,2023-08-30,2023-09-04,True,POL-0009,PENDING,
EXP-000193,EMP-26494,135.5,Accommodation,2021-12-06,2021-12-18,True,POL-0003,APPROVED,MGR-6637
EXP-000194,EMP-50502,6068.67,Consulting,2023-09-25,2023-10-05,False,POL-0008,PENDING,
EXP-000195,EMP-63566,1825.07,Travel,2021-06-01,2021-06-03,False,POL-0001,APPROVED,MGR-7110
EXP-000196,EMP-70084,170.01,Entertainment,2021-09-04,2021-09-10,True,POL-0019,APPROVED,MGR-8115
EXP-000197,EMP-60663,777.68,Travel,2023-02-28,2023-03-02,True,POL-0007,APPROVED,MGR-3910
EXP-000198,EMP-15184,276.53,Office Supplies,2021-04-14,2021-04-26,True,POL-0018,APPROVED,MGR-3517
EXP-000199,EMP-RM627,4509.29,Training,2024-12-09,2024-12-23,True,POL-0012,APPROVED,MGR-6467
EXP-000200,EMP-41397,3421.57,Training,2024-10-06,2024-10-16,True,POL-0007,APPROVED,MGR-2496
EXP-000201,EMP-19816,1142.63,Travel,2022-10-20,2022-10-25,True,POL-0015,APPROVED,MGR-3024
EXP-000202,EMP-9321,50.37,Entertainment,2024-11-04,2024-11-13,True,POL-0009,APPROVED,MGR-4619
EXP-000203,EMP-RM176,2377.65,Marketing,2021-03-09,2021-03-09,True,POL-0004,APPROVED,MGR-9261
EXP-000204,EMP-RM623,1505.56,Equipment,2021-02-15,2021-02-28,True,POL-0002,APPROVED,MGR-6637
EXP-000205,EMP-13631,1613.94,Equipment,2023-02-06,2023-02-19,True,POL-0012,APPROVED,MGR-2722
EXP-000206,EMP-19743,1451.37,Travel,2024-08-18,2024-08-28,True,POL-0016,APPROVED,MGR-9261
EXP-000207,EMP-42126,2093.62,Equipment,2023-08-03,2023-08-11,True,POL-0014,APPROVED,MGR-4911
EXP-000208,EMP-RM496,103.46,Office Supplies,2024-10-26,2024-11-06,True,POL-0014,APPROVED,MGR-5188
EXP-000209,EMP-9241,145.61,Entertainment,2021-07-05,2021-07-19,True,POL-0002,APPROVED,MGR-3496
EXP-000210,EMP-56457,830.16,Consulting,2021-08-11,2021-08-12,True,POL-0009,APPROVED,MGR-6032
EXP-000211,EMP-40272,157.3,Entertainment,2023-02-20,2023-02-27,True,POL-0001,APPROVED,MGR-4911
EXP-000212,EMP-RM078,253.12,Accommodation,2021-05-04,2021-05-15,False,POL-0011,APPROVED,MGR-2279
EXP-000213,EMP-53337,245.19,Equipment,2022-03-01,2022-03-11,True,POL-0003,APPROVED,MGR-4730
EXP-000214,EMP-54862,121.87,Meals,2024-03-19,2024-03-24,True,POL-0012,APPROVED,MGR-5449
EXP-000215,EMP-49449,665.86,Software,2022-04-20,2022-04-28,False,POL-0010,APPROVED,EMP-49449
EXP-000216,EMP-29612,86.69,Entertainment,2021-08-27,2021-08-29,False,POL-0010,PENDING,
EXP-000217,EMP-RM1454,9094.96,Marketing,2023-05-25,2023-05-29,True,POL-0014,APPROVED,MGR-8925
EXP-000218,EMP-71977,2308.07,Training,2023-11-04,2023-11-04,True,POL-0007,APPROVED,MGR-7040
EXP-000219,EMP-55743,1622.91,Equipment,2022-08-15,2022-08-29,True,POL-0020,APPROVED,MGR-7273
EXP-000220,EMP-41930,199.97,Travel,2022-05-11,2022-05-20,True,POL-0020,APPROVED,MGR-1012
EXP-000221,EMP-13620,28.3,Equipment,2024-12-04,2024-12-08,True,POL-0019,APPROVED,MGR-9536
EXP-000222,EMP-RM147,79.3,Office Supplies,2022-02-17,2022-02-24,True,POL-0013,APPROVED,MGR-2060
EXP-000223,EMP-47251,43.44,Entertainment,2021-12-09,2021-12-12,True,POL-0014,APPROVED,MGR-8161
EXP-000224,EMP-29358,1892.34,Training,2022-10-28,2022-10-29,True,POL-0002,APPROVED,MGR-7040
EXP-000225,EMP-55359,51.47,Marketing,2022-04-28,2022-04-29,True,POL-0004,APPROVED,MGR-8005
EXP-000226,EMP-73104,326.16,Software,2023-03-25,2023-04-08,False,POL-0013,PENDING,
EXP-000227,EMP-37732,3389.33,Training,2023-12-03,2023-12-17,True,POL-0009,APPROVED,MGR-3073
EXP-000228,EMP-27693,273.77,Office Supplies,2023-08-01,2023-08-04,False,POL-0007,APPROVED,MGR-1899
EXP-000229,EMP-61864,3055.99,Training,2022-04-12,2022-04-23,True,POL-0010,APPROVED,MGR-2668
EXP-000230,EMP-41086,50.03,Software,2023-11-19,2023-11-21,True,POL-0006,APPROVED,MGR-6467
EXP-000231,EMP-24860,11592.31,Consulting,2023-02-09,2023-02-17,True,POL-0014,PENDING,
EXP-000232,EMP-72274,2379.44,Equipment,2021-01-20,2021-01-23,True,POL-0005,APPROVED,MGR-2279
EXP-000233,EMP-9150,143.42,Entertainment,2021-08-14,2021-08-26,True,POL-0008,APPROVED,MGR-1877
EXP-000234,EMP-67825,52.62,Meals,2021-11-12,2021-11-23,True,POL-0015,APPROVED,MGR-2413
EXP-000235,EMP-73499,568.44,Software,2022-07-13,2022-07-25,True,POL-0011,APPROVED,MGR-7414
EXP-000236,EMP-2875,3496.87,Training,2024-04-23,2024-04-30,True,POL-0006,PENDING,
EXP-000237,EMP-44807,22.14,Entertainment,2023-04-22,2023-05-02,True,POL-0006,PENDING,
EXP-000238,EMP-36670,235.8,Accommodation,2023-06-02,2023-06-02,True,POL-0008,APPROVED,MGR-8247
EXP-000239,EMP-51122,1547.09,Travel,2021-10-03,2021-10-09,True,POL-0003,APPROVED,MGR-9261
EXP-000240,EMP-56520,3958.65,Marketing,2021-04-28,2021-04-30,False,POL-0017,PENDING,
EXP-000241,EMP-61090,1741.2,Marketing,2023-01-09,2023-01-20,True,POL-0002,APPROVED,MGR-3496
EXP-000242,EMP-15203,6038.71,Marketing,2021-10-19,2021-10-28,True,POL-0016,APPROVED,MGR-8161
