contract_id,vendor_id,contract_value,currency,start_date,end_date,contract_type,status,created_by_employee_id
CON-000135,VND-03838,716768.65,GBP,2020-04-20,2022-05-23,MASTER_SERVICE,TERMINATED,EMP-45973
CON-000136,VND-01826,14543.16,USD,2023-04-03,2025-05-25,FIXED_PRICE,EXPIRED,EMP-15318
CON-000137,VND-00700,393037.19,EUR,2022-11-29,2025-07-13,MASTER_SERVICE,ACTIVE,EMP-20441
CON-000138,VND-04892,1541351.61,INR,2019-12-08,2020-12-13,FIXED_PRICE,EXPIRED,EMP-24606
CON-000139,VND-01376,209926.22,USD,2020-04-06,2021-03-19,FRAMEWORK,EXPIRED,EMP-27405
CON-000140,VND-01173,286519.69,AUD,2020-07-30,2021-10-11,PURCHASE_ORDER,EXPIRED,EMP-71111
CON-000141,VND-00226,17931.28,SGD,2022-03-28,2024-04-25,SLA,EXPIRED,EMP-64274
CON-000142,VND-00019,350210.07,GBP,2021-11-09,2024-03-08,FIXED_PRICE,EXPIRED,EMP-50104
CON-000143,VND-02647,507536.1,USD,2019-07-30,2021-09-30,SLA,EXPIRED,EMP-12556
CON-000144,VND-03952,21275.89,USD,2018-07-18,2019-02-16,RETAINER,TERMINATED,EMP-39225
CON-000145,VND-04351,438814.63,USD,2021-10-09,2023-01-26,SLA,EXPIRED,EMP-12090
CON-000146,VND-00874,132810.0,USD,2023-11-02,2026-07-11,MASTER_SERVICE,ACTIVE,EMP-66358
CON-000147,VND-01173,58219.93,USD,2018-01-27,2019-06-22,TIME_AND_MATERIAL,EXPIRED,EMP-8192
CON-000148,VND-02992,5000.0,EUR,2018-05-03,2020-03-04,FRAMEWORK,ACTIVE,EMP-17165
CON-000149,VND-04343,30720.32,USD,2023-01-04,2025-01-10,RETAINER,EXPIRED,MGR-3835
CON-000150,VND-04835,564452.87,USD,2019-11-23,2020-09-23,PURCHASE_ORDER,EXPIRED,EMP-12654
CON-000151,VND-00763,18192.21,INR,2021-08-28,2023-09-20,TIME_AND_MATERIAL,EXPIRED,EMP-10168
CON-000152,VND-04725,8526.04,USD,2019-06-24,2021-06-25,RETAINER,EXPIRED,EMP-49517
CON-000153,VND-04255,1018029.06,USD,2020-04-11,2023-02-01,FIXED_PRICE,EXPIRED,EMP-25264
CON-000154,VND-04649,24793.83,GBP,2022-08-02,2023-07-25,FRAMEWORK,EXPIRED,EMP-1396
CON-000155,VND-02538,728172.78,EUR,2019-04-16,2020-12-23,FRAMEWORK,EXPIRED,EMP-68443
CON-000156,VND-04561,40854.9,USD,2018-01-28,2019-11-21,TIME_AND_MATERIAL,EXPIRED,EMP-RM812
CON-000157,VND-04318,65517.85,USD,2021-07-02,2022-12-10,FIXED_PRICE,EXPIRED,EMP-164
CON-000158,VND-01305,78118.01,GBP,2018-01-15,2018-10-06,RETAINER,EXPIRED,EMP-3731
CON-000159,VND-02225,516170.0,USD,2022-06-20,2023-09-25,MASTER_SERVICE,EXPIRED,EMP-37113
CON-000160,VND-02205,649699.0,CAD,2022-08-28,2023-07-08,FIXED_PRICE,EXPIRED,EMP-69694
CON-000161,VND-00801,436384.89,USD,2019-12-02,2021-07-19,FRAMEWORK,EXPIRED,EMP-39731
CON-000162,VND-01400,36389.05,EUR,2018-07-28,2019-09-16,SLA,EXPIRED,EMP-2789
CON-000163,VND-02799,5000.0,EUR,2020-02-12,2021-03-04,FRAMEWORK,ACTIVE,EMP-RM412
CON-000164,VND-01162,58935.04,USD,2020-06-04,2022-01-12,PURCHASE_ORDER,EXPIRED,EMP-37628
CON-000165,VND-00721,12739.43,USD,2020-11-29,2022-05-06,SLA,EXPIRED,EMP-CORP-00383
CON-000166,VND-03288,1135004.74,AUD,2018-11-06,2020-02-03,FIXED_PRICE,EXPIRED,EMP-59929
CON-000167,VND-00817,100460.51,EUR,2023-03-01,2023-09-04,TIME_AND_MATERIAL,EXPIRED,EMP-21231
CON-000168,VND-03542,42466.78,USD,2023-06-03,2025-10-15,FIXED_PRICE,ACTIVE,EMP-8033
CON-000169,VND-04682,164353.76,USD,2018-07-09,2019-05-07,PURCHASE_ORDER,EXPIRED,EMP-29296
CON-000170,VND-01952,8359.0,EUR,2019-09-04,2021-10-01,PURCHASE_ORDER,EXPIRED,EMP-37144
CON-000171,VND-01620,5000.0,USD,2023-05-07,2025-06-24,SLA,ACTIVE,EMP-24037
CON-000172,VND-04388,1138618.37,INR,2022-03-04,2023-07-27,RETAINER,EXPIRED,EMP-68533
CON-000173,VND-03635,6091.05,USD,2021-03-02,2023-05-06,MASTER_SERVICE,EXPIRED,EMP-1076
CON-000174,VND-03765,23197.99,EUR,2019-03-30,2021-12-14,FRAMEWORK,TERMINATED,EMP-42226
CON-000175,VND-03832,257241.2,INR,2020-09-02,2022-10-18,SLA,EXPIRED,EMP-51234
CON-000176,VND-00654,196925.29,EUR,2020-08-31,2023-02-06,TIME_AND_MATERIAL,EXPIRED,EMP-3024
CON-000177,VND-03683,29683.67,USD,2022-11-14,2025-05-07,PURCHASE_ORDER,EXPIRED,EMP-RM1431
CON-000178,VND-01567,241306.48,INR,2021-06-06,2022-06-23,RETAINER,EXPIRED,EMP-22717
CON-000179,VND-03789,234454.71,EUR,2023-07-23,2024-07-05,TIME_AND_MATERIAL,TERMINATED,EMP-42191
CON-000180,VND-00904,19974.88,SGD,2022-07-22,2025-02-26,FRAMEWORK,EXPIRED,EMP-42486
CON-000181,VND-00353,47946.15,USD,2019-10-04,2021-12-20,SLA,EXPIRED,EMP-36127
CON-000182,VND-04375,9413.88,GBP,2018-03-18,2020-07-01,RETAINER,EXPIRED,EMP-21002
CON-000183,VND-00415,6209.49,USD,2018-05-06,2020-11-09,RETAINER,EXPIRED,EMP-1583
CON-000184,VND-03433,119003.46,USD,2021-12-22,2023-10-27,RETAINER,EXPIRED,EMP-RM1077
CON-000185,VND-03322,5000.0,USD,2019-07-21,2020-05-24,FIXED_PRICE,EXPIRED,EMP-22602
CON-000186,VND-03380,655539.56,INR,2020-08-03,2021-03-25,SLA,EXPIRED,EMP-17573
CON-000187,VND-00481,393008.67,CAD,2021-09-22,2022-08-19,MASTER_SERVICE,EXPIRED,EMP-15090
CON-000188,VND-03770,389830.63,USD,2020-01-17,2021-08-24,PURCHASE_ORDER,EXPIRED,EMP-10391
CON-000189,VND-03450,5993.9,USD,2018-02-22,2021-02-05,TIME_AND_MATERIAL,EXPIRED,EMP-41444
CON-000190,VND-01825,16169.8,USD,2021-09-13,2023-11-27,PURCHASE_ORDER,EXPIRED,EMP-7552
CON-000191,VND-01341,5901.48,INR,2020-09-19,2023-07-20,PURCHASE_ORDER,EXPIRED,EMP-32936
CON-000192,VND-03419,19547.09,GBP,2022-08-29,2025-02-04,RETAINER,EXPIRED,EMP-59574
CON-000193,VND-02042,168922.95,AUD,2018-03-23,2020-12-05,SLA,EXPIRED,EMP-CORP-00569
CON-000194,VND-02468,13299.45,USD,2020-08-25,2022-04-09,FIXED_PRICE,EXPIRED,EMP-60103
CON-000195,VND-04958,88803.9,GBP,2018-03-07,2020-04-13,TIME_AND_MATERIAL,ACTIVE,EMP-3381
CON-000196,VND-02463,267387.47,USD,2023-01-31,2024-09-18,SLA,TERMINATED,EMP-56020
CON-000197,VND-01194,154771.92,USD,2023-08-24,2025-07-04,FIXED_PRICE,ACTIVE,EMP-RM1031
CON-000198,VND-02129,53958.48,USD,2018-08-04,2021-01-31,RETAINER,EXPIRED,EMP-43757
CON-000199,VND-03282,279258.85,AUD,2023-07-12,2025-09-12,TIME_AND_MATERIAL,ACTIVE,EMP-26808
CON-000200,VND-03547,11144607.81,INR,2022-01-29,2024-11-04,FIXED_PRICE,TERMINATED,EMP-47720
CON-000201,VND-01610,1584020.62,USD,2020-08-04,2023-01-01,FRAMEWORK,EXPIRED,EMP-12918
CON-000202,VND-01737,8857.14,EUR,2020-01-21,2022-10-07,RETAINER,EXPIRED,EMP-14094
CON-000203,VND-04571,18821.13,USD,2020-06-30,2021-12-04,RETAINER,EXPIRED,EMP-40973
CON-000204,VND-01814,58561.04,SGD,2018-03-22,2020-01-23,PURCHASE_ORDER,EXPIRED,EMP-23182
CON-000205,VND-01706,7019031.77,USD,2020-01-11,2021-03-01,MASTER_SERVICE,EXPIRED,EMP-12662
CON-000206,VND-02402,5000.0,USD,2023-05-03,2024-07-15,SLA,EXPIRED,EMP-13818
CON-000207,VND-03758,16598.94,GBP,2018-08-14,2019-10-15,PURCHASE_ORDER,EXPIRED,EMP-60745
CON-000208,VND-00395,5000.0,EUR,2020-10-15,2023-08-02,PURCHASE_ORDER,EXPIRED,EMP-52332
CON-000209,VND-00736,225492.42,USD,2021-12-31,2023-05-27,FRAMEWORK,EXPIRED,EMP-46478
CON-000210,VND-00429,105529.28,USD,2019-09-15,2020-08-15,FRAMEWORK,TERMINATED,EMP-52270
CON-000211,VND-03222,49704.47,USD,2018-10-19,2019-07-06,FRAMEWORK,EXPIRED,EMP-72310
CON-000212,VND-01079,1282234.7,CAD,2020-08-10,2022-07-13,FRAMEWORK,EXPIRED,EMP-48975
CON-000213,VND-04235,8832.77,USD,2019-01-09,2021-11-18,MASTER_SERVICE,ACTIVE,EMP-216
CON-000214,VND-02862,37155.99,CAD,2020-07-03,2023-01-15,RETAINER,EXPIRED,EMP-35906
CON-000215,VND-00561,70006.67,GBP,2023-04-11,2024-01-28,TIME_AND_MATERIAL,EXPIRED,EMP-9370
CON-000216,VND-04065,38297.0,INR,2022-05-26,2024-02-07,MASTER_SERVICE,EXPIRED,EMP-6764
CON-000217,VND-01077,5922.47,CAD,2022-08-05,2023-10-10,FRAMEWORK,EXPIRED,EMP-40383
CON-000218,VND-03363,91564.23,AUD,2018-11-01,2021-03-17,PURCHASE_ORDER,EXPIRED,EMP-CORP-00256
CON-000219,VND-03544,6316.85,GBP,2021-07-18,2022-05-28,PURCHASE_ORDER,EXPIRED,EMP-58220
CON-000220,VND-00600,137819.56,INR,2018-06-20,2019-10-09,FRAMEWORK,EXPIRED,EMP-15381
CON-000221,VND-03158,677184.01,USD,2022-01-08,2024-05-20,TIME_AND_MATERIAL,EXPIRED,EMP-3053
CON-000222,VND-02508,48615.57,USD,2020-06-02,2022-11-08,PURCHASE_ORDER,EXPIRED,EMP-CORP-00306
CON-000223,VND-04857,61941.55,AUD,2019-03-24,2019-11-04,MASTER_SERVICE,EXPIRED,EMP-66288
CON-000224,VND-00787,16777.97,EUR,2018-07-25,2021-02-09,SLA,EXPIRED,EMP-22616
CON-000225,VND-04103,20202.77,INR,2019-02-07,2021-02-06,TIME_AND_MATERIAL,EXPIRED,EMP-56292
CON-000226,VND-00939,2515018.41,EUR,2020-09-22,2022-10-10,FIXED_PRICE,EXPIRED,EMP-29422
CON-000227,VND-04389,20058.57,INR,2021-12-14,2022-09-10,RETAINER,EXPIRED,EMP-53854
CON-000228,VND-00375,27278.99,CAD,2018-05-25,2020-09-27,FRAMEWORK,EXPIRED,EMP-54859
CON-000229,VND-04562,46117.22,EUR,2019-10-19,2021-05-10,TIME_AND_MATERIAL,EXPIRED,EMP-RM086
CON-000230,VND-01279,348011.48,USD,2023-06-23,2024-05-28,RETAINER,EXPIRED,EMP-RM805
CON-000231,VND-02379,55847.66,USD,2019-09-25,2021-12-30,FIXED_PRICE,EXPIRED,EMP-19937
CON-000232,VND-00146,113478.84,EUR,2023-10-14,2024-11-25,FIXED_PRICE,EXPIRED,EMP-28466
CON-000233,VND-01819,434027.69,EUR,2022-06-28,2024-09-03,MASTER_SERVICE,TERMINATED,EMP-49902
CON-000234,VND-04667,607191.87,EUR,2019-02-27,2021-06-12,FRAMEWORK,ACTIVE,EMP-11431
CON-000235,VND-01675,5000.0,EUR,2023-03-06,2026-03-03,FIXED_PRICE,ACTIVE,EMP-10168
CON-000236,VND-00290,8035.1,USD,2022-04-02,2024-03-21,FIXED_PRICE,EXPIRED,EMP-18001
CON-000237,VND-04598,5000.0,GBP,2023-07-06,2026-07-04,FRAMEWORK,ACTIVE,EMP-2857
CON-000238,VND-00373,138150.51,CAD,2022-02-05,2024-11-21,FRAMEWORK,ACTIVE,EMP-50181
CON-000239,VND-00733,5000.0,USD,2018-07-19,2020-10-16,TIME_AND_MATERIAL,EXPIRED,EMP-41039
