transaction_id,transaction_date,vendor_id,amount,currency,transaction_type,risk_score,status
TXN-C1147487483,2021-07-26,VND-00708,10349.73,EUR,PURCHASE,0.69,COMPLETED
TXN-358517,2023-11-23,VND-04633,237636.27,EUR,PAYMENT,0.65,COMPLETED
TXN-894456,2022-10-23,VND-03943,1828682.26,AUD,REFUND,0.685,COMPLETED
TXN-227443,2023-04-04,VND-02421,270121.6,USD,REIMBURSEMENT,0.913,COMPLETED
TXN-798695,2022-06-20,VND-01753,1778.03,USD,TRANSFER,0.782,COMPLETED
TXN-382885,2021-04-20,VND-01539,16460.7,USD,INVOICE,0.666,COMPLETED
TXN-C1777034891,2020-08-07,VND-00332,21164.61,USD,INVOICE,0.078,COMPLETED
TXN-316221,2020-12-24,VND-03928,6129.93,USD,SETTLEMENT,0.735,COMPLETED
TXN-118517,2023-02-19,VND-00032,114960.74,EUR,PAYMENT,0.04,COMPLETED
TXN-C66973571,2021-07-20,VND-02554,4314.75,USD,INVOICE,0.067,COMPLETED
TXN-C171290935,2024-01-21,VND-04586,280771.21,AUD,PURCHASE,0.91,COMPLETED
TXN-502471,2022-04-30,VND-00661,4740.39,USD,TRANSFER,0.588,COMPLETED
TXN-C1593624045,2024-01-03,VND-02101,80710.97,USD,PAYMENT,0.758,COMPLETED
TXN-C142883344,2021-06-30,VND-01300,316270.85,CAD,SETTLEMENT,0.461,PENDING
TXN-C671967776,2023-10-25,VND-02473,11777.55,USD,PAYMENT,0.175,COMPLETED
TXN-815158,2021-08-23,VND-00001,66554.85,CAD,PAYMENT,0.801,COMPLETED
TXN-795805,2020-05-27,VND-00695,147217.38,INR,SETTLEMENT,0.778,COMPLETED
TXN-888947,2022-07-28,VND-00023,117292.47,INR,REIMBURSEMENT,0.759,COMPLETED
TXN-C968359116,2020-06-10,VND-01989,30507.47,EUR,REIMBURSEMENT,0.762,COMPLETED
TXN-678496,2023-09-15,VND-01259,180291.58,CAD,TRANSFER,0.358,COMPLETED
TXN-292004,2022-05-04,VND-01279,309412.9,USD,PURCHASE,0.317,COMPLETED
TXN-C521565119,2023-02-24,VND-00278,174458.02,USD,REIMBURSEMENT,0.285,COMPLETED
TXN-827039,2023-12-07,VND-00903,22192.05,INR,ADVANCE,0.725,COMPLETED
TXN-C948211715,2023-11-20,VND-02827,24976.14,USD,SETTLEMENT,0.279,FLAGGED
TXN-817397,2021-03-10,VND-01205,324832.64,USD,INVOICE,0.098,COMPLETED
TXN-C881300195,2023-04-29,VND-01274,14119.66,SGD,INVOICE,0.776,COMPLETED
TXN-C1812917935,2020-08-22,VND-02552,144749.98,EUR,REFUND,0.844,COMPLETED
TXN-543477,2021-01-09,VND-00326,7408.87,EUR,REFUND,0.671,COMPLETED
TXN-961399,2021-03-07,VND-02619,78555.07,EUR,REIMBURSEMENT,0.116,COMPLETED
TXN-C2093740240,2023-12-24,VND-01286,355265.09,USD,SETTLEMENT,0.245,COMPLETED
TXN-C1340848245,2024-11-03,VND-02690,32198.64,GBP,REFUND,0.249,COMPLETED
TXN-C1496647287,2023-03-05,VND-01984,130557.21,INR,REIMBURSEMENT,0.942,COMPLETED
TXN-352524,2023-02-12,VND-04842,24093.45,USD,INVOICE,0.195,COMPLETED
TXN-C2047699790,2024-02-08,VND-00255,17538.8,AUD,INVOICE,0.369,FLAGGED
TXN-776143,2022-07-23,VND-04758,328475.75,GBP,REIMBURSEMENT,0.596,COMPLETED
TXN-836034,2024-07-10,VND-02807,316565.95,USD,REFUND,0.838,COMPLETED
TXN-714605,2022-01-20,VND-03623,275396.91,USD,ADVANCE,0.684,COMPLETED
TXN-C993619391,2023-03-22,VND-02059,12418.74,INR,REIMBURSEMENT,0.947,COMPLETED
TXN-C1737395186,2020-06-29,VND-00378,2752.14,USD,REIMBURSEMENT,0.129,COMPLETED
TXN-872607,2022-08-03,VND-00852,247184.1,SGD,INVOICE,0.368,COMPLETED
TXN-C112345235,2022-01-23,VND-00147,54786.27,USD,ADVANCE,0.404,FLAGGED
TXN-C2035733269,2021-11-06,VND-03605,16462.13,USD,TRANSFER,0.484,COMPLETED
TXN-C1568276332,2021-02-15,VND-02747,7921.75,USD,TRANSFER,0.276,COMPLETED
TXN-766049,2021-10-10,VND-00024,390895.32,GBP,TRANSFER,0.053,COMPLETED
TXN-C173750100,2023-04-24,VND-04416,7422.7,CAD,TRANSFER,0.29,COMPLETED
TXN-781871,2021-12-02,VND-04144,49746.37,CAD,SETTLEMENT,0.755,COMPLETED
TXN-C1229277232,2020-10-22,VND-03488,5378.26,INR,SETTLEMENT,0.749,COMPLETED
TXN-299807,2021-11-08,VND-02708,15377.28,EUR,SETTLEMENT,0.737,COMPLETED
TXN-C1866217830,2022-09-24,VND-00725,17802.19,GBP,PURCHASE,0.7,COMPLETED
TXN-C2043426933,2023-03-09,VND-04589,16323.99,USD,REIMBURSEMENT,0.291,COMPLETED
TXN-502825,2021-09-29,VND-01237,113743.9,AUD,ADVANCE,0.647,COMPLETED
TXN-C630229419,2021-09-07,VND-02887,25114.13,CAD,ADVANCE,0.492,COMPLETED
TXN-C363640621,2023-09-25,VND-01826,3489.41,USD,PURCHASE,0.018,REVERSED
TXN-C1129292627,2022-01-27,VND-01183,52028.25,INR,ADVANCE,0.1,COMPLETED
TXN-C1735588295,2024-08-22,VND-00974,11297.52,USD,TRANSFER,0.556,COMPLETED
TXN-C100445376,2023-11-14,VND-02495,12620.09,GBP,SETTLEMENT,0.882,COMPLETED
TXN-948011,2021-10-17,VND-02890,1117.02,USD,REIMBURSEMENT,0.836,COMPLETED
TXN-C274944853,2022-12-17,VND-04930,15391.02,CAD,REFUND,0.443,COMPLETED
TXN-905675,2024-09-18,VND-03361,33264.63,GBP,SETTLEMENT,0.431,COMPLETED
TXN-C2097496271,2021-12-29,VND-04490,18652.39,AUD,PAYMENT,0.334,COMPLETED
TXN-C1003598110,2023-11-09,VND-02517,7536.78,USD,SETTLEMENT,0.961,COMPLETED
TXN-C837086941,2022-07-17,VND-00035,85770.91,USD,PAYMENT,0.178,COMPLETED
TXN-204877,2024-11-20,VND-04192,1244.1,GBP,TRANSFER,0.356,COMPLETED
TXN-C153416689,2023-02-04,VND-02447,268458.96,EUR,SETTLEMENT,0.248,COMPLETED
TXN-C988858006,2021-10-02,VND-03513,158316.76,USD,TRANSFER,0.246,COMPLETED
TXN-C1244210459,2024-02-08,VND-02760,8010.85,CAD,PURCHASE,0.804,COMPLETED
TXN-951791,2023-05-20,VND-02572,202241.9,GBP,TRANSFER,0.706,COMPLETED
TXN-735935,2022-08-02,VND-03960,12088.98,USD,PURCHASE,0.933,COMPLETED
TXN-C911013966,2024-05-27,VND-02282,93844.76,USD,PURCHASE,0.83,COMPLETED
TXN-C483319272,2022-06-23,VND-03880,198994.88,INR,ADVANCE,0.579,COMPLETED
TXN-C672753945,2023-12-11,VND-03339,140618.02,EUR,INVOICE,0.038,COMPLETED
TXN-C1217089772,2023-12-23,VND-00516,12154.7,EUR,REIMBURSEMENT,0.075,COMPLETED
TXN-C615954678,2023-02-11,VND-01664,2033.62,EUR,INVOICE,0.05,COMPLETED
TXN-C1385260835,2021-10-31,VND-01737,62129.71,USD,REIMBURSEMENT,0.848,COMPLETED
TXN-C1694087193,2023-03-03,VND-03568,2084.79,CAD,INVOICE,0.173,COMPLETED
TXN-C907089215,2020-07-27,VND-03776,6560.47,USD,PAYMENT,0.162,COMPLETED
TXN-C1664540455,2021-10-05,VND-03045,324770.7,USD,PAYMENT,0.936,COMPLETED
TXN-C1242969461,2020-04-30,VND-04834,2502.08,GBP,TRANSFER,0.426,COMPLETED
TXN-500790,2022-09-13,VND-00035,547597.98,EUR,REIMBURSEMENT,0.767,COMPLETED
TXN-825575,2022-12-04,VND-02985,3095.41,USD,REFUND,0.846,COMPLETED
TXN-C1240177254,2023-08-10,VND-02734,3674.62,GBP,PAYMENT,0.905,PENDING
TXN-C456872530,2020-07-09,VND-02576,11076.22,EUR,PAYMENT,0.193,COMPLETED
TXN-277215,2020-11-15,VND-02235,12886.93,USD,PURCHASE,0.382,COMPLETED
TXN-C1123291490,2021-09-25,VND-04086,2286.59,USD,REIMBURSEMENT,0.094,COMPLETED
TXN-C979490841,2022-06-29,VND-04141,97433.12,CAD,PAYMENT,0.99,COMPLETED
TXN-C142473357,2021-07-24,VND-02940,6251.38,INR,INVOICE,0.002,PENDING
TXN-C97379863,2021-11-07,VND-02631,5747.69,USD,TRANSFER,0.491,PENDING
TXN-577085,2020-05-09,VND-01335,12608.31,USD,PAYMENT,0.598,COMPLETED
TXN-408834,2023-07-20,VND-01310,153857.59,GBP,TRANSFER,0.467,COMPLETED
TXN-C1436750234,2023-06-01,VND-00403,126810.24,USD,REFUND,0.209,COMPLETED
TXN-C1241806626,2021-11-06,VND-02617,136451.26,SGD,INVOICE,0.608,COMPLETED
TXN-C743648472,2020-05-22,VND-00293,115940.63,USD,SETTLEMENT,0.969,COMPLETED
TXN-793250,2022-01-21,VND-03840,22176.19,CAD,SETTLEMENT,0.685,COMPLETED
TXN-C380565006,2021-12-03,VND-04667,15857.02,INR,PAYMENT,0.062,COMPLETED
TXN-691244,2020-04-26,VND-00227,42806.74,USD,PURCHASE,0.667,COMPLETED
TXN-606295,2023-05-06,VND-00555,21049.23,USD,ADVANCE,0.124,COMPLETED
TXN-C126251002,2024-01-04,VND-01877,12923.2,GBP,SETTLEMENT,0.8,COMPLETED
TXN-C1095632312,2023-05-14,VND-01822,227215.56,INR,REFUND,0.21,COMPLETED
TXN-C1061083324,2022-09-01,VND-00037,116668.0,USD,ADVANCE,0.703,COMPLETED
TXN-C2035159953,2021-04-05,VND-00362,451720.14,USD,INVOICE,0.502,PENDING
TXN-C1384845686,2021-02-12,VND-02017,319312.14,USD,PAYMENT,0.782,PENDING
TXN-778518,2021-10-15,VND-03632,4551.91,USD,ADVANCE,0.802,COMPLETED
TXN-609875,2024-12-28,VND-01725,9836.79,INR,TRANSFER,0.836,COMPLETED
TXN-927730,2024-07-11,VND-03155,112638.58,GBP,PURCHASE,0.166,COMPLETED
TXN-706774,2020-02-01,VND-03089,156593.58,AUD,ADVANCE,0.783,COMPLETED
TXN-600453,2021-07-20,VND-01036,708.59,GBP,ADVANCE,0.997,COMPLETED
TXN-C1631228605,2022-12-08,VND-00572,8462.25,AUD,ADVANCE,0.379,COMPLETED
TXN-C1900366749,2021-06-17,VND-01024,45866.33,USD,INVOICE,0.87,COMPLETED
TXN-455705,2020-10-23,VND-00026,7851.28,USD,PURCHASE,0.135,COMPLETED
TXN-C890469285,2020-05-08,VND-01729,462367.75,EUR,SETTLEMENT,0.474,COMPLETED
TXN-C37565677,2020-01-19,VND-00096,72854.02,USD,REFUND,0.147,COMPLETED
TXN-C307663451,2022-11-11,VND-01310,207331.06,USD,REIMBURSEMENT,0.981,COMPLETED
TXN-C514441286,2020-11-26,VND-01590,1971.32,SGD,INVOICE,0.445,COMPLETED
TXN-C135194470,2022-07-03,VND-00644,103505.29,USD,REIMBURSEMENT,0.701,COMPLETED
TXN-C1385018919,2021-01-31,VND-01836,12970.64,SGD,PAYMENT,0.23,COMPLETED
TXN-C681279230,2022-04-20,VND-00798,163762.07,INR,TRANSFER,0.214,COMPLETED
TXN-C572892443,2024-02-25,VND-03749,286202.75,SGD,INVOICE,0.827,COMPLETED
TXN-119472,2021-02-21,VND-01634,12284.74,USD,REIMBURSEMENT,0.098,COMPLETED
TXN-C427253536,2022-09-16,VND-01093,134271.04,GBP,TRANSFER,0.395,COMPLETED
TXN-828618,2023-01-06,VND-03005,267494.19,USD,PURCHASE,0.082,FLAGGED
TXN-775613,2023-01-25,VND-02921,506993.03,EUR,PURCHASE,0.775,COMPLETED
TXN-C1667149358,2021-07-09,VND-04644,14524.7,USD,SETTLEMENT,0.563,COMPLETED
TXN-550158,2022-04-14,VND-04488,204248.45,AUD,REIMBURSEMENT,0.439,COMPLETED
TXN-C298259383,2022-07-21,VND-00974,128769.23,AUD,REFUND,0.504,COMPLETED
TXN-561343,2022-01-11,VND-00620,44875.64,INR,PAYMENT,0.537,COMPLETED
TXN-C1445758842,2020-02-13,VND-04150,20869.13,CAD,TRANSFER,0.394,COMPLETED
TXN-C213458071,2020-10-13,VND-02235,62068.94,USD,SETTLEMENT,0.836,COMPLETED
TXN-C70089622,2020-06-08,VND-04532,200008.93,USD,INVOICE,0.98,COMPLETED
TXN-C8972378,2020-08-14,VND-03269,100.0,GBP,PURCHASE,0.312,COMPLETED
TXN-C1930618491,2023-02-20,VND-04261,59343.94,CAD,TRANSFER,0.799,COMPLETED
TXN-311715,2023-08-22,VND-01427,123552.78,GBP,REIMBURSEMENT,0.185,COMPLETED
TXN-740199,2020-05-29,VND-00137,363978.57,INR,INVOICE,0.166,COMPLETED
TXN-233432,2020-09-02,VND-02821,543214.7,INR,REFUND,0.916,COMPLETED
TXN-C625581304,2024-09-13,VND-01848,134407.48,USD,PAYMENT,0.889,COMPLETED
TXN-C724826016,2021-09-05,VND-03337,120839.54,USD,REIMBURSEMENT,0.743,COMPLETED
TXN-261963,2021-06-09,VND-03050,228576.76,EUR,REIMBURSEMENT,0.384,COMPLETED
TXN-C827221909,2020-01-12,VND-04816,358848.03,CAD,REFUND,0.51,COMPLETED
TXN-C1874962678,2021-12-25,VND-00024,184164.72,AUD,REIMBURSEMENT,0.485,COMPLETED
TXN-903660,2021-05-02,VND-04776,22096.38,GBP,REIMBURSEMENT,0.626,COMPLETED
