vendor_id,vendor_name,vendor_type,country,registration_no,risk_rating,onboarding_date,status
VND-00043,Alpha_Inc Ltd,MANUFACTURER,France,REG-IC801XLJ12,LOW,2022-06-04,INACTIVE
VND-00044,DeltaPath Logistics Ltd,DISTRIBUTOR,United States,REG-XY262CWN04,LOW,2023-04-02,ACTIVE
VND-00045,LucentBridge Technologies International,LOGISTICS,UAE,REG-NV315JPK86,MEDIUM,2020-08-21,ACTIVE
VND-00046,FlowBridge Inc,SUPPLIER,Brazil,REG-YA260ZQV25,LOW,2017-01-31,INACTIVE
VND-00047,ZenithBridge Corp,CONSULTANT,Brazil,REG-CE342OMD16,LOW,2021-05-22,ACTIVE
VND-00048,Acuity Systems LLC,DISTRIBUTOR,Netherlands,REG-QM543ZVR30,LOW,2021-07-18,ACTIVE
VND-00049,RapidCore Consulting LLC,CONSULTANT,India,REG-RI145VBH86,LOW,2018-07-10,ACTIVE
VND-00050,TrueNorth Services International,LOGISTICS,United States,REG-GM429BWU40,LOW,2018-07-19,ACTIVE
VND-00051,KryptonPath Ltd,DISTRIBUTOR,United Kingdom,REG-YK569MQC81,LOW,2015-10-28,ACTIVE
VND-00052,WaveCore Manufacturing,CONTRACTOR,India,REG-XB608EQV83,LOW,2017-09-27,ACTIVE
VND-00053,UnityCore Technologies Holdings,LOGISTICS,Ireland,REG-TQ951AUZ48,LOW,2021-11-10,ACTIVE
VND-00054,JadeCore Solutions Holdings,SUPPLIER,United States,REG-QY482RVL36,LOW,2022-06-10,ACTIVE
VND-00055,WavePath Inc Ltd,CONTRACTOR,India,REG-AT994SNB68,LOW,2016-09-28,ACTIVE
VND-00056,NorthBridge Supplies LLC,LOGISTICS,India,REG-CR995NGE77,LOW,2022-02-10,ACTIVE
VND-00057,Epsilon_Group,MANUFACTURER,Singapore,REG-VF214WPR89,LOW,2016-01-14,ACTIVE
VND-00058,VertiLink Distributors Inc,MANUFACTURER,India,REG-CP433ENX20,MEDIUM,2016-06-19,ACTIVE
VND-00059,UnityCore Technologies International,SUPPLIER,United States,REG-TS176YFZ93,LOW,2021-04-16,ACTIVE
VND-00060,JetStream Analytics Ltd,LOGISTICS,Canada,REG-OL320ZSH16,LOW,2015-05-28,ACTIVE
VND-00061,InnoCore Dynamics,CONTRACTOR,United States,REG-DI708ZDQ31,LOW,2018-06-16,ACTIVE
VND-00062,PrimeAxis Corp LLC,CONTRACTOR,China,REG-NU889GBJ57,MEDIUM,2016-02-26,ACTIVE
VND-00063,NexPoint Analytics LLC,CONSULTANT,United Kingdom,REG-WP727ORX74,MEDIUM,2016-09-25,ACTIVE
VND-00064,Acuity Systems,MANUFACTURER,Germany,REG-ET873SPR47,HIGH,2017-01-04,BLACKLISTED
VND-00065,RapidCore Consulting Inc,LOGISTICS,India,REG-JO558YSJ12,MEDIUM,2023-03-30,ACTIVE
VND-00066,GlobalNex Corp International,LOGISTICS,France,REG-ID316ADN65,LOW,2015-06-08,ACTIVE
VND-00067,DawnTech Services Holdings,LOGISTICS,United Kingdom,REG-YE669AWT09,LOW,2018-06-04,ACTIVE
VND-00068,ZenithBridge Corp Holdings,LOGISTICS,United States,REG-OF668ORB89,LOW,2018-02-15,ACTIVE
VND-00069,PeakVault Services Ltd,MANUFACTURER,UAE,REG-UK706DIN56,HIGH,2019-06-26,ACTIVE
VND-00070,QuantumEdge Solutions Group,CONTRACTOR,United States,REG-QB806FPB99,LOW,2021-07-06,ACTIVE
VND-00071,VoltEdge Solutions Inc,SERVICE_PROVIDER,South Africa,REG-YU272NDU04,LOW,2018-07-08,ACTIVE
VND-00072,KryptonPath Ltd Group,SUPPLIER,Singapore,REG-FE564BVI64,CRITICAL,2017-11-09,INACTIVE
VND-00073,IronPoint Manufacturing LLC,MANUFACTURER,United Kingdom,REG-WB053PMB10,LOW,2023-01-25,ACTIVE
VND-00074,RapidCore Consulting Holdings,CONTRACTOR,United States,REG-QH923KND27,LOW,2021-12-27,ACTIVE
VND-00075,TrueNorth Services LLC,CONTRACTOR,Singapore,REG-VT452HXK99,MEDIUM,2019-07-31,ACTIVE
VND-00076,MeridianTech International,SERVICE_PROVIDER,United Kingdom,REG-KR419YZT04,LOW,2022-06-16,ACTIVE
VND-00077,JadeCore Solutions Inc,CONTRACTOR,India,REG-SX319TRM31,LOW,2015-01-02,ACTIVE
VND-00078,MomentumCore Corp LLC,SERVICE_PROVIDER,Australia,REG-BQ190XEG58,LOW,2018-08-12,ACTIVE
VND-00079,EcoVenture Supplies Inc,MANUFACTURER,United Kingdom,REG-BX506ODT71,LOW,2023-12-05,ACTIVE
VND-00080,RapidCore Consulting LLC,CONTRACTOR,United States,REG-NZ262IXE84,LOW,2021-12-11,ACTIVE
VND-00081,SkyBridge Logistics Holdings,LOGISTICS,United Kingdom,REG-PF769RCP45,MEDIUM,2017-07-09,ACTIVE
VND-00082,EcoVenture Supplies Ltd,SUPPLIER,Australia,REG-BF799ULF65,LOW,2023-08-14,ACTIVE
VND-00083,MeridianTech LLC,SERVICE_PROVIDER,France,REG-MS354RJA54,LOW,2022-10-23,ACTIVE
VND-00084,TitanPath Holdings,LOGISTICS,United States,REG-FJ831WPS36,LOW,2023-06-03,ACTIVE
VND-00085,Delta_Logistics LLC,SERVICE_PROVIDER,United States,REG-SO777ZSP01,MEDIUM,2020-10-22,ACTIVE
VND-00086,HarborLight Services International,LOGISTICS,Australia,REG-HW495BVJ78,LOW,2016-06-30,ACTIVE
VND-00087,MomentumCore Corp Holdings,SERVICE_PROVIDER,South Africa,REG-QO557HUM44,LOW,2023-06-21,INACTIVE
VND-00088,BlueStar Procurement Inc,SERVICE_PROVIDER,United Kingdom,REG-NV518ERU23,MEDIUM,2021-02-22,INACTIVE
VND-00089,QuantumEdge Solutions Inc,LOGISTICS,Japan,REG-MS989OXL41,MEDIUM,2017-10-09,ACTIVE
VND-00090,FusionCore Analytics LLC,CONTRACTOR,Australia,REG-CD408JSS24,LOW,2017-09-06,ACTIVE
VND-00091,RedPoint Consulting Holdings,DISTRIBUTOR,United States,REG-SE271ECV09,LOW,2018-08-02,ACTIVE
VND-00092,TitanPath Holdings Group,CONSULTANT,United States,REG-EZ204FEK71,LOW,2022-12-03,ACTIVE
VND-00093,DawnTech Services International,CONSULTANT,Singapore,REG-FP022HJW94,LOW,2015-09-13,ACTIVE
VND-00094,TitanPath Holdings,DISTRIBUTOR,Canada,REG-XH699YCC93,LOW,2023-08-02,ACTIVE
VND-00095,TrueNorth Services Inc,LOGISTICS,Singapore,REG-ND496NVG49,LOW,2019-05-17,ACTIVE
VND-00096,Delta_Logistics Ltd,SERVICE_PROVIDER,United Kingdom,REG-PL334JEK12,LOW,2017-06-22,ACTIVE
VND-00097,YieldPoint Partners Holdings,MANUFACTURER,Singapore,REG-SC067OST97,LOW,2022-07-02,ACTIVE
VND-00098,InnoCore Dynamics Ltd,SUPPLIER,Canada,REG-YY471OLQ34,MEDIUM,2020-12-27,ACTIVE
VND-00099,FlowBridge Inc LLC,CONSULTANT,Australia,REG-PJ361RJE83,LOW,2019-10-22,ACTIVE
VND-00100,UltraVista Technologies Group,CONTRACTOR,Germany,REG-SC024HDS99,LOW,2020-02-06,ACTIVE
VND-00101,XpressCore Dynamics Inc,CONTRACTOR,United States,REG-FC464FMC88,MEDIUM,2019-09-23,ACTIVE
VND-00102,DeltaPath Logistics Holdings,MANUFACTURER,United States,REG-FO659RKL40,LOW,2017-07-07,ACTIVE
VND-00103,XpressCore Dynamics,CONSULTANT,United States,REG-EH049PCR02,MEDIUM,2017-10-09,ACTIVE
VND-00104,EcoVenture Supplies LLC,DISTRIBUTOR,United Kingdom,REG-EW296AVU71,LOW,2016-04-13,ACTIVE
VND-00105,XcelPath Networks Group,DISTRIBUTOR,United States,REG-SQ125ZWJ67,LOW,2021-10-17,ACTIVE
VND-00106,TrueNorth Services,SUPPLIER,India,REG-UH071XZG54,MEDIUM,2021-06-28,ACTIVE
VND-00107,YieldPoint Partners International,CONSULTANT,United States,REG-MH087XNW60,LOW,2023-01-07,ACTIVE
VND-00108,PrimeAxis Corp,LOGISTICS,India,REG-JI770SCS34,LOW,2022-10-26,ACTIVE
VND-00109,HarborLight Services Inc,LOGISTICS,United States,REG-TK710TJA93,MEDIUM,2021-05-07,ACTIVE
VND-00110,XcelPath Networks,MANUFACTURER,Germany,REG-DH861PJF31,LOW,2020-09-03,ACTIVE
VND-00111,FusionCore Analytics,CONTRACTOR,Japan,REG-EP484DJJ67,LOW,2019-11-11,ACTIVE
VND-00112,JetStream Analytics International,MANUFACTURER,Netherlands,REG-ER639XYA82,MEDIUM,2016-12-22,ACTIVE
VND-00113,Delta_Logistics Ltd,SERVICE_PROVIDER,Australia,REG-UT584LLQ04,HIGH,2023-09-08,ACTIVE
VND-00114,RedPoint Consulting Holdings,LOGISTICS,United States,REG-WV727JWI87,LOW,2017-10-02,ACTIVE
VND-00115,XpressCore Dynamics International,DISTRIBUTOR,Canada,REG-KY675OXA33,LOW,2021-05-23,ACTIVE
VND-00116,UltraVista Technologies Group,CONSULTANT,Germany,REG-QY057PJF66,LOW,2020-06-20,ACTIVE
VND-00117,MomentumCore Corp LLC,DISTRIBUTOR,United States,REG-GC028GHD95,MEDIUM,2018-02-05,ACTIVE
VND-00118,PrimeAxis Corp LLC,SERVICE_PROVIDER,China,REG-EY026QVN21,LOW,2019-07-23,ACTIVE
VND-00119,PeakVault Services LLC,SERVICE_PROVIDER,United States,REG-UO615TWF86,MEDIUM,2020-07-03,ACTIVE
VND-00120,TitanPath Holdings Group,MANUFACTURER,Brazil,REG-OR809SOV13,LOW,2018-06-08,ACTIVE
VND-00121,WaveCore Manufacturing International,DISTRIBUTOR,Germany,REG-KS161TBC17,LOW,2023-05-14,ACTIVE
VND-00122,TrueNorth Services Holdings,SUPPLIER,United Kingdom,REG-BJ504PHA55,LOW,2017-08-02,ACTIVE
VND-00123,XpressCore Dynamics LLC,CONSULTANT,United Kingdom,REG-NY922NRP21,LOW,2017-01-28,ACTIVE
VND-00124,LucentBridge Technologies Inc,DISTRIBUTOR,India,REG-OQ792DQQ37,MEDIUM,2020-11-18,ACTIVE
VND-00125,SilverPath Holdings Group,CONSULTANT,India,REG-EC074WLT82,CRITICAL,2019-01-18,BLACKLISTED
VND-00126,RedPoint Consulting,DISTRIBUTOR,India,REG-YE647GPY43,LOW,2015-08-12,ACTIVE
VND-00127,XpressCore Dynamics International,LOGISTICS,United States,REG-BQ959ZRA44,LOW,2016-02-25,ACTIVE
VND-00128,ClearPath Logistics Holdings,SUPPLIER,India,REG-XZ909OMZ74,LOW,2017-01-25,ACTIVE
VND-00129,Gamma_Co,SERVICE_PROVIDER,United States,REG-RW533UXQ94,HIGH,2019-06-30,ACTIVE
VND-00130,JetStream Analytics Group,DISTRIBUTOR,India,REG-CL210XUI47,LOW,2024-02-05,ACTIVE
VND-00131,JadeCore Solutions Inc,DISTRIBUTOR,Brazil,REG-MI145YIX62,LOW,2019-09-01,ACTIVE
VND-00132,HorizonEdge Inc International,SERVICE_PROVIDER,India,REG-EZ884SVV24,MEDIUM,2020-01-20,ACTIVE
VND-00133,TrueNorth Services Ltd,SUPPLIER,South Africa,REG-RU171RZZ23,MEDIUM,2021-12-18,BLACKLISTED
VND-00134,XpressCore Dynamics Group,CONSULTANT,India,REG-QI851HDX60,HIGH,2022-01-06,ACTIVE
VND-00135,LatticeCore Partners Ltd,CONSULTANT,United States,REG-RO496EBN51,LOW,2015-11-04,ACTIVE
VND-00136,EcoVenture Supplies Holdings,CONSULTANT,India,REG-OD859STP31,LOW,2015-05-14,ACTIVE
VND-00137,DawnTech Services,CONSULTANT,India,REG-TF612HGP00,MEDIUM,2022-09-16,ACTIVE
VND-00138,RapidCore Consulting Inc,SERVICE_PROVIDER,United States,REG-QV826SIA75,MEDIUM,2017-03-21,ACTIVE
VND-00139,RedPoint Consulting Inc,SUPPLIER,United States,REG-NA926RCS17,LOW,2016-08-05,ACTIVE
VND-00140,WavePath Inc,CONTRACTOR,Australia,REG-XG537RXI73,LOW,2021-05-20,ACTIVE
VND-00141,TitanPath Holdings International,DISTRIBUTOR,UAE,REG-HD506FQN43,LOW,2018-01-20,ACTIVE
VND-00142,CoreVault Systems International,CONTRACTOR,South Africa,REG-IY900KNE53,LOW,2023-03-28,ACTIVE
VND-00143,SkyBridge Logistics Inc,DISTRIBUTOR,United States,REG-VX839JYM33,LOW,2021-06-14,ACTIVE
VND-00144,RedPoint Consulting Ltd,LOGISTICS,United Kingdom,REG-QZ042LHQ28,CRITICAL,2015-06-14,BLACKLISTED
VND-00145,RedPoint Consulting Group,SERVICE_PROVIDER,Japan,REG-LU020BLQ53,LOW,2021-07-25,ACTIVE
VND-00146,EcoVenture Supplies Holdings,CONTRACTOR,Germany,REG-VE026ECX81,MEDIUM,2019-07-31,BLACKLISTED
VND-00147,VertiLink Distributors International,SERVICE_PROVIDER,India,REG-GO589NCU17,LOW,2022-10-12,ACTIVE
VND-00148,XpressCore Dynamics Ltd,SERVICE_PROVIDER,United States,REG-EZ847BRG00,LOW,2015-05-31,ACTIVE
VND-00149,YellowBridge Partners International,LOGISTICS,United States,REG-MJ771EIR15,LOW,2020-10-08,ACTIVE
VND-00150,Acuity Systems,DISTRIBUTOR,Canada,REG-MH998SDG56,LOW,2017-02-07,ACTIVE
VND-00151,ClearPath Logistics Inc,CONSULTANT,India,REG-UN961BCO18,LOW,2015-07-31,ACTIVE
VND-00152,ClearPath Logistics LLC,SUPPLIER,United States,REG-UG657UBU66,LOW,2020-06-08,ACTIVE
VND-00153,PrimeAxis Corp LLC,CONTRACTOR,China,REG-FF452FBG71,HIGH,2016-10-10,INACTIVE
VND-00154,OmegaLink Systems Inc,SERVICE_PROVIDER,United States,REG-JJ528VQH09,LOW,2016-04-09,ACTIVE
VND-00155,UnityCore Technologies Holdings,MANUFACTURER,India,REG-MT656WGK04,LOW,2020-09-15,ACTIVE
VND-00156,EcoVenture Supplies Group,DISTRIBUTOR,United States,REG-GW832JXH73,LOW,2020-02-14,ACTIVE
VND-00157,GreenBridge Consulting LLC,LOGISTICS,United States,REG-XN493NRP68,LOW,2016-07-13,ACTIVE
VND-00158,Acuity Systems Holdings,DISTRIBUTOR,India,REG-LR809SWT40,LOW,2023-11-01,ACTIVE
VND-00159,TrueNorth Services Inc,DISTRIBUTOR,France,REG-KQ550ZEJ22,MEDIUM,2021-08-01,ACTIVE
VND-00160,EcoVenture Supplies Holdings,DISTRIBUTOR,UAE,REG-AD018VKX36,MEDIUM,2018-09-23,ACTIVE
VND-00161,MeridianTech LLC,DISTRIBUTOR,Canada,REG-DJ459KWN91,LOW,2017-09-05,ACTIVE
VND-00162,CoreVault Systems Holdings,SERVICE_PROVIDER,Canada,REG-FM014CAR76,LOW,2023-05-09,ACTIVE
VND-00163,Gamma_Co LLC,SERVICE_PROVIDER,United States,REG-HS381RRL56,LOW,2016-09-15,ACTIVE
VND-00164,VertiLink Distributors Inc,LOGISTICS,Australia,REG-ZM784DAN03,LOW,2016-02-16,INACTIVE
VND-00165,Apex Solutions LLC,SERVICE_PROVIDER,Ireland,REG-UH432AFV44,LOW,2016-08-13,ACTIVE
VND-00166,Alpha_Inc Holdings,DISTRIBUTOR,Canada,REG-TO622GJQ68,HIGH,2018-10-18,ACTIVE
VND-00167,Epsilon_Group LLC,SERVICE_PROVIDER,Germany,REG-BD516EUK06,LOW,2020-12-25,ACTIVE
VND-00168,FusionCore Analytics Inc,SUPPLIER,Japan,REG-HZ696BUK64,LOW,2021-01-25,ACTIVE
VND-00169,SilverPath Holdings Group,SUPPLIER,Singapore,REG-GP975BLZ16,LOW,2023-05-17,ACTIVE
VND-00170,UnityCore Technologies Inc,SERVICE_PROVIDER,United Kingdom,REG-OV816XKE45,HIGH,2016-02-16,INACTIVE
VND-00171,CoreVault Systems Holdings,SUPPLIER,India,REG-XW818WUP83,LOW,2023-12-06,ACTIVE
VND-00172,PrimeAxis Corp Ltd,DISTRIBUTOR,United Kingdom,REG-ML231MJW24,LOW,2019-08-15,ACTIVE
VND-00173,YieldPoint Partners Ltd,CONSULTANT,France,REG-WL127CRK79,LOW,2022-08-30,ACTIVE
VND-00174,DawnTech Services LLC,SERVICE_PROVIDER,India,REG-EE955COT27,HIGH,2017-11-06,ACTIVE
VND-00175,DawnTech Services Holdings,DISTRIBUTOR,United Kingdom,REG-ET490DCC58,LOW,2022-08-07,ACTIVE
VND-00176,LucentBridge Technologies Holdings,SERVICE_PROVIDER,India,REG-NM054GYD11,LOW,2022-03-02,ACTIVE
VND-00177,YieldPoint Partners Inc,SUPPLIER,India,REG-PM980UME79,LOW,2020-06-02,ACTIVE
VND-00178,SilverPath Holdings LLC,SUPPLIER,Canada,REG-ZV820TFG71,LOW,2018-04-24,ACTIVE
VND-00179,SkyBridge Logistics Inc,SUPPLIER,South Africa,REG-HH203NKX77,LOW,2023-05-09,ACTIVE
VND-00180,SilverPath Holdings Inc,CONSULTANT,South Africa,REG-RM546DYO65,MEDIUM,2023-12-17,ACTIVE
VND-00181,MeridianTech Ltd,MANUFACTURER,United States,REG-RY515SQU18,MEDIUM,2017-10-23,ACTIVE
VND-00182,PeakVault Services,LOGISTICS,Australia,REG-QJ925WTP19,LOW,2018-06-19,ACTIVE
VND-00183,InnoCore Dynamics,CONTRACTOR,Singapore,REG-JY629PYV14,LOW,2018-04-23,ACTIVE
VND-00184,IronPoint Manufacturing Holdings,DISTRIBUTOR,India,REG-XB281XTL68,LOW,2020-12-14,ACTIVE
VND-00185,Gamma_Co International,CONTRACTOR,Germany,REG-IJ357ESY33,MEDIUM,2024-01-17,ACTIVE
VND-00186,EdgeWave Technologies Group,CONSULTANT,Canada,REG-QV188XNI80,MEDIUM,2023-06-17,ACTIVE
VND-00187,XcelPath Networks,SERVICE_PROVIDER,United States,REG-SX962NZK22,HIGH,2023-11-13,BLACKLISTED
VND-00188,XcelPath Networks LLC,MANUFACTURER,India,REG-CN706SWV53,LOW,2023-05-26,ACTIVE
VND-00189,XcelPath Networks,CONSULTANT,France,REG-ZY738EMX34,LOW,2022-07-27,ACTIVE
VND-00190,JadeCore Solutions Holdings,CONSULTANT,Ireland,REG-GH977AKM46,LOW,2021-11-03,ACTIVE
VND-00191,TitanPath Holdings,SERVICE_PROVIDER,United States,REG-XJ924GTH07,LOW,2022-04-13,ACTIVE
VND-00192,TrueNorth Services International,SUPPLIER,India,REG-CG141JBF24,LOW,2016-04-20,ACTIVE
VND-00193,DawnTech Services Holdings,MANUFACTURER,UAE,REG-DZ375GXP06,MEDIUM,2022-07-09,ACTIVE
VND-00194,JetStream Analytics International,SUPPLIER,France,REG-UG615TPV30,LOW,2022-05-06,ACTIVE
VND-00195,RedPoint Consulting,CONTRACTOR,United Kingdom,REG-SI220WTE47,LOW,2022-09-28,ACTIVE
VND-00196,Epsilon_Group Holdings,MANUFACTURER,Canada,REG-QN790JJU10,LOW,2016-02-11,INACTIVE
VND-00197,WaveCore Manufacturing,CONTRACTOR,United Kingdom,REG-PT986HDP14,LOW,2019-06-19,INACTIVE
VND-00198,Gamma_Co International,MANUFACTURER,United Kingdom,REG-FM697IBO11,HIGH,2016-01-11,BLACKLISTED
VND-00199,BridgeTech Consulting,CONTRACTOR,India,REG-BA893NWP24,LOW,2023-10-28,ACTIVE
VND-00200,NorthBridge Supplies,LOGISTICS,China,REG-XE962HIG18,CRITICAL,2024-04-21,BLACKLISTED
VND-00201,OmegaLink Systems Holdings,CONSULTANT,Brazil,REG-CO880YXQ67,LOW,2023-09-07,ACTIVE
VND-00202,JetStream Analytics Group,CONTRACTOR,United Kingdom,REG-UQ051OGX53,LOW,2021-01-21,ACTIVE
VND-00203,InnoCore Dynamics,LOGISTICS,India,REG-IV952PLX05,LOW,2019-01-07,ACTIVE
VND-00204,QuantumEdge Solutions,MANUFACTURER,Singapore,REG-TX772DCS21,LOW,2016-06-03,ACTIVE
VND-00205,EcoVenture Supplies International,CONTRACTOR,Netherlands,REG-TG303ZIE05,LOW,2023-09-22,ACTIVE
VND-00206,OmegaLink Systems Ltd,MANUFACTURER,Netherlands,REG-XD403PVR45,LOW,2015-06-27,ACTIVE
VND-00207,BridgeTech Consulting,LOGISTICS,Singapore,REG-YV156LFS67,LOW,2020-05-15,ACTIVE
VND-00208,UnityCore Technologies International,SUPPLIER,Germany,REG-UB758FBM41,LOW,2015-10-29,ACTIVE
VND-00209,RedPoint Consulting Ltd,DISTRIBUTOR,China,REG-FU284QST51,LOW,2022-02-06,ACTIVE
VND-00210,MomentumCore Corp Ltd,SERVICE_PROVIDER,Netherlands,REG-WC796CUW27,MEDIUM,2018-04-22,ACTIVE
VND-00211,TitanPath Holdings,MANUFACTURER,China,REG-QO964ZXG01,LOW,2022-05-05,ACTIVE
VND-00212,ClearPath Logistics Group,CONTRACTOR,Australia,REG-CI202EPX97,MEDIUM,2019-08-22,ACTIVE
VND-00213,UltraVista Technologies International,MANUFACTURER,India,REG-MJ556RCX90,LOW,2018-07-04,ACTIVE
VND-00214,EcoVenture Supplies,LOGISTICS,United States,REG-HX571ZUP92,LOW,2016-01-09,ACTIVE
VND-00215,WavePath Inc Holdings,CONSULTANT,China,REG-FH431YJH02,LOW,2024-02-08,ACTIVE
VND-00216,JadeCore Solutions Holdings,SUPPLIER,Singapore,REG-SS447FMH39,LOW,2022-07-07,INACTIVE
VND-00217,XpressCore Dynamics International,SUPPLIER,India,REG-FZ217RUQ27,LOW,2023-02-01,ACTIVE
VND-00218,KryptonPath Ltd,CONSULTANT,France,REG-TK518TTS84,LOW,2017-05-21,ACTIVE
VND-00219,Epsilon_Group Ltd,SUPPLIER,India,REG-MY258IPY31,LOW,2019-02-14,ACTIVE
VND-00220,Epsilon_Group Ltd,LOGISTICS,Japan,REG-XD705ZJI89,LOW,2023-08-10,ACTIVE
VND-00221,BridgeTech Consulting Ltd,LOGISTICS,India,REG-TU911EHA46,LOW,2022-05-18,ACTIVE
VND-00222,XpressCore Dynamics Holdings,CONTRACTOR,United States,REG-PE691CDR25,LOW,2018-10-23,ACTIVE
VND-00223,RapidCore Consulting International,CONSULTANT,Japan,REG-LX852IBG89,LOW,2015-10-13,ACTIVE
VND-00224,HorizonEdge Inc Group,SERVICE_PROVIDER,Australia,REG-KK018UTO24,HIGH,2019-03-21,ACTIVE
VND-00225,VoltEdge Solutions Holdings,DISTRIBUTOR,Brazil,REG-MO584JRI14,LOW,2023-09-17,ACTIVE
